Titles,Subtitles,Links
Incredible video shows Barca's Nou Camp transformation after £1.3bn revamp,"THE Spanish giants moved out of the stadium in May 2023, beginning the process of a major overhaul of the 67-year-old arena.",https://www.thesun.co.uk/sport/29977164/barcelona-nou-camp-renovation-timelapse-update/
Watch Ronaldo's girlfriend Georgina Rodriguez throw HAIR into the ocean,"ON her TikTok account, she posted a clip of a hairdresser cutting her hair off with scissors as she looked out towards the sea. Music repeatedly saying the word 'no' was also placed over the top of the clip.",https://www.thesun.co.uk/sport/29982363/cristiano-ronaldo-girlfriend-georgina-rodriguez-throws-hair-ocean-haircut/
Five best pubs near Stamford Bridge including boozer where Chelsea were founded,"As fans return to stadiums with the beginning of the new season, SunSport investigated the best pubs South West London has to offer",https://www.thesun.co.uk/sport/29967980/best-pubs-chelsea-stamford-bridge-butchers-hook/
Inside Vardy’s Prem return from necking Red Bull to rant at Spurs star,"THE 37-year-old veteran marked his return to the top flight in typical 'Vardy style' by guzzling Red Bull, winding up the opposition and leaving fans thoroughly entertained.",https://www.thesun.co.uk/sport/29975247/jamie-vardy-return-tottenham-red-bull/
Bentancur KO'd & given oxygen in Spurs' draw with Leicester as aces look away,TOTTENHAM star suffered a horrific blow in the Prem clash. Players were from both sides were visibly shaken up by injury.,https://www.thesun.co.uk/sport/29969535/rodrigo-bentancur-tottenham-knocked-out-leicester/
Newcastle line up shock £45m Joe Gomez move as alternative to Marc Guehi,NEWCASTLE could make a move for Liverpool's Joe Gomez after seeing four bigs rejected for Marc Guehi.,https://www.thesun.co.uk/sport/29964531/newcastle-joe-gomez-liverpool-transfer-marc-guehi/
How Chelsea could rake in £212million by selling 11 outcasts in as many days,CHELSEA still have a squad of 41 PLAYERS just 11 days out from Deadline Day on August 30. A number of big names failed to even make the bench for the 2-0 loss to Manchester City at Stamford Bridge on Sunday.,https://www.thesun.co.uk/sport/29953500/chelsea-sales-transfers-sterling-lukaku-chilwell-gallagher/
Vardy earns point on Prem return after Spurs let new boys off hook,VARDY haunted Spurs again at the age of 37.,https://www.thesun.co.uk/sport/29969753/leicester-1-tottenham-1-match-report/
Bellingham's model girlfriend leaves little to imagination in busty outfit,LAURA is believed to have been dating Real Madrid and England star Bellingham in recent months. But the pair did not holiday together this summer as they soaked in the sunshine in different locations.,https://www.thesun.co.uk/sport/29912817/jude-bellingham-model-girlfriend-laura-celia-valk-outfit/
